,satisfaction,evaluation,projectCount,averageMonthlyHours,yearsAtCompany,workAccident,turnover,promotion,dept,salary
37,0.01,0.38,2,115,10,0,0,1,0,0
38,0.74,0.41,3,271,6,1,0,1,3,1
39,0.6,0.97,5,280,8,0,1,0,7,0
40,0.62,0.22,7,128,8,1,1,1,8,0
41,0.71,0.27,5,203,5,0,0,0,8,2
42,0.91,0.21,1,211,10,0,0,1,2,0
43,0.3,0.66,2,108,10,0,0,1,4,0
44,0.2,0.05,4,307,3,1,0,0,2,1
45,0.21,0.22,4,117,8,0,0,0,9,1
46,0.82,0.61,2,233,5,0,0,1,0,0
47,0.67,1.0,5,154,8,1,0,0,8,1
48,0.56,0.85,1,271,9,1,0,1,4,0
49,0.8,0.43,3,244,4,1,1,0,5,2
50,0.37,0.58,1,281,3,0,1,0,4,0
51,0.11,0.39,4,109,5,1,0,0,8,2
52,0.15,0.46,5,161,4,0,1,0,6,2
53,0.1,0.14,7,250,2,0,1,1,9,2
54,0.9,0.47,7,219,10,0,0,1,9,1
55,0.03,0.82,2,122,6,0,0,0,5,1
56,0.07,0.99,4,234,4,0,0,0,1,1
57,0.38,0.84,2,181,10,0,1,1,3,2
58,0.41,0.06,4,296,9,1,1,0,7,2
59,0.98,0.73,7,104,5,0,1,1,0,1
60,0.76,0.5,3,117,10,1,0,1,0,1
61,0.89,0.99,2,213,2,0,1,0,1,2
62,0.7,0.44,2,173,5,0,0,1,1,2
63,0.47,0.33,2,114,9,1,0,1,9,2
64,0.17,0.99,6,154,3,0,1,1,9,2
65,0.87,0.53,7,214,9,0,1,1,3,1
66,0.44,0.74,3,289,10,0,1,0,0,1
67,0.89,0.71,2,120,5,1,0,0,3,1
68,0.18,0.8,4,192,7,0,1,0,4,1
69,0.8,0.05,4,153,7,1,1,1,1,0
70,0.5,0.47,1,310,10,1,0,0,0,2
71,0.67,0.16,5,270,7,0,0,1,0,1
72,0.66,0.62,3,100,3,0,1,1,5,0
73,0.88,0.81,4,294,6,0,1,1,3,0
74,0.4,0.77,3,127,3,0,0,0,9,2
75,0.05,0.96,3,150,8,0,0,0,8,1
76,0.84,0.01,3,111,9,1,1,0,6,0
77,0.15,0.56,5,124,3,0,0,1,0,2
78,0.39,0.27,3,255,9,1,1,0,5,1
79,0.45,0.34,1,164,6,1,0,0,3,0
80,0.49,0.36,5,119,9,1,0,1,3,0
81,0.61,0.8,3,151,8,1,0,0,2,0
82,0.36,0.41,4,303,6,1,0,0,0,1
83,0.39,0.9,4,171,5,0,1,0,1,1
84,0.79,0.28,5,285,9,1,0,0,8,2
85,0.52,0.78,7,296,8,1,1,0,8,2
86,0.59,0.19,2,151,3,1,0,1,6,1
87,0.82,0.08,5,109,4,1,0,0,0,0
88,0.27,0.68,6,157,4,0,1,0,9,1
89,0.45,0.06,2,166,2,0,1,0,4,1
90,0.21,0.85,5,273,2,0,1,1,6,1
91,0.28,0.79,7,132,4,1,1,0,5,0
92,0.22,0.72,4,170,10,1,1,0,2,0
93,0.31,0.45,2,264,5,1,1,1,2,2
94,0.96,0.62,1,306,10,1,0,1,3,0
95,0.86,0.77,2,220,6,0,0,0,2,2
96,0.68,0.14,7,114,7,1,0,0,6,0
97,0.95,0.08,2,112,4,0,1,0,2,1
98,0.19,0.9,3,253,5,0,1,1,6,2
99,0.87,0.38,6,103,5,0,0,1,1,0
100,0.9,0.47,6,180,9,1,0,1,9,0
101,0.02,0.81,3,304,2,1,1,1,8,0
102,0.27,0.93,1,96,8,0,0,0,4,2
103,0.56,0.94,6,150,8,0,1,0,8,2
104,0.37,0.54,6,212,2,0,0,0,1,1
105,0.93,0.64,1,111,8,0,1,0,0,0
106,0.92,0.47,1,205,10,0,1,0,9,1
107,0.98,0.31,5,106,10,0,1,0,8,2
108,0.3,0.22,7,96,2,0,1,1,9,2
109,0.58,0.1,7,226,4,0,1,1,2,1
110,0.02,0.33,3,221,8,0,1,0,8,0
111,0.2,0.59,1,206,8,0,1,0,1,1
112,0.78,0.83,3,289,10,1,1,0,3,1
113,0.1,0.05,4,154,8,1,0,0,9,1
114,0.77,0.9,3,271,7,0,1,0,7,0
115,0.59,0.89,3,273,2,1,0,0,4,2
116,0.92,0.18,5,124,8,1,0,1,7,0
117,0.49,0.45,2,217,4,1,0,0,8,1
118,0.04,0.89,6,116,5,1,1,1,8,1
119,0.35,0.63,4,300,9,0,1,1,2,1
120,0.1,0.46,7,172,8,0,1,0,9,0
121,0.49,0.7,5,132,4,0,1,0,3,0
122,0.28,0.56,6,177,2,0,1,1,2,0
123,0.68,0.56,6,249,8,1,1,1,0,2
124,0.04,0.52,5,128,4,0,1,0,3,2
125,0.84,0.97,3,110,4,1,1,1,9,2
126,0.61,0.28,4,279,9,0,1,0,7,1
127,0.14,0.28,4,163,4,1,0,0,4,0
128,0.14,0.82,4,235,10,0,0,0,3,0
129,0.65,0.43,3,178,9,1,1,1,5,1
130,0.98,0.43,6,307,6,0,0,1,5,2
131,0.42,0.85,4,274,2,0,0,0,9,2
132,0.42,0.37,4,189,5,1,1,1,3,1
133,0.88,0.19,2,226,4,1,1,1,4,0
134,0.7,0.68,7,257,8,1,1,1,2,0
135,0.28,0.48,3,147,6,0,0,0,4,1
136,0.28,0.01,6,171,2,0,1,1,0,1
137,0.97,0.01,7,173,2,1,0,1,0,1
138,0.43,0.41,1,213,6,1,0,1,0,1
139,0.14,0.14,3,168,10,1,1,1,5,2
140,0.0,0.18,4,235,2,0,1,0,5,2
141,0.84,0.0,6,218,4,0,0,0,5,2
142,0.08,0.12,6,121,5,1,0,0,3,0
143,0.32,0.45,6,184,9,0,0,1,3,2
144,0.08,0.37,5,112,4,1,0,0,9,0
145,0.05,0.18,1,140,6,1,1,1,6,2
146,0.98,0.41,5,100,8,0,0,1,4,0
147,0.29,0.83,3,153,4,1,1,1,3,0
148,0.88,0.66,6,288,2,0,1,1,6,0
149,0.5,0.48,2,265,10,0,0,0,3,0
150,0.13,0.96,6,175,3,0,0,0,6,1
151,0.96,0.25,2,129,10,0,0,1,3,1
152,0.04,0.54,1,291,5,0,0,1,4,1
153,0.52,0.54,3,309,9,0,1,1,9,1
154,0.34,0.62,1,204,2,0,0,0,0,0
155,0.75,0.72,4,274,2,1,1,1,7,1
156,0.11,0.78,2,103,6,0,1,0,3,0
157,0.84,0.19,4,133,3,1,0,1,1,0
158,0.04,0.01,7,113,3,0,0,1,0,0
159,0.06,0.97,3,217,7,1,1,1,4,1
160,0.32,0.19,2,145,5,1,0,0,1,2
161,0.53,0.93,7,130,5,1,0,0,7,1
162,0.46,0.89,1,132,2,0,1,0,9,0
163,0.28,0.55,5,275,3,1,1,0,7,0
164,0.94,0.54,7,261,6,1,1,1,4,0
165,0.22,0.35,3,106,7,0,1,1,9,1
166,0.61,0.94,6,192,9,0,0,0,6,0
167,0.47,0.8,3,201,7,0,0,0,7,1
168,0.92,0.67,6,165,7,0,0,0,1,1
169,0.56,0.6,5,198,7,0,1,0,3,0
170,0.68,0.66,4,273,2,1,1,1,9,1
171,0.96,0.57,2,114,2,0,1,0,9,0
172,0.62,0.6,5,266,9,1,1,1,7,0
173,1.0,0.82,1,261,9,0,1,1,9,1
174,0.79,0.14,3,152,9,0,1,1,5,1
175,0.31,0.88,6,305,7,0,1,1,6,1
176,0.51,0.07,7,184,10,0,0,0,8,2
177,0.09,0.36,4,187,4,0,1,0,6,0
178,0.09,0.13,3,260,3,0,1,0,7,0
179,0.06,0.53,5,175,8,1,1,1,9,2
180,0.7,0.73,3,205,9,1,0,1,8,1
181,0.23,0.42,4,98,8,0,0,0,4,0
182,0.76,0.87,1,231,6,1,1,0,4,0
183,0.48,0.18,4,259,10,0,1,1,9,2
184,0.88,0.62,7,285,10,0,0,1,5,1
185,0.38,0.62,7,307,6,1,0,1,6,0
186,0.73,0.4,1,101,7,1,1,1,1,0
187,0.84,0.71,2,163,9,0,0,1,6,1
188,0.59,0.21,6,211,3,0,0,0,4,1
189,0.91,0.67,5,160,6,1,0,1,8,1
190,0.85,0.52,2,215,5,0,0,1,5,2
191,0.97,0.73,6,265,10,0,0,0,4,1
192,0.12,0.87,3,259,7,1,0,1,0,0
193,0.14,0.04,5,189,10,0,0,1,1,2
194,0.35,0.18,4,291,5,1,1,0,0,1
195,0.67,0.2,6,133,10,0,0,0,8,1
196,0.81,0.75,6,310,9,1,0,1,9,0
197,0.02,0.41,5,305,9,1,1,0,7,0
198,0.13,0.05,7,146,2,0,0,1,0,0
199,0.91,0.85,1,278,9,1,1,1,1,2
200,0.78,0.41,3,122,2,1,0,0,2,2
201,0.65,0.78,5,309,5,1,1,0,1,1
202,0.04,0.34,1,131,6,0,0,1,5,0
203,0.86,0.98,7,177,2,0,0,0,0,0
204,0.08,0.69,3,239,3,0,0,1,2,0
205,0.42,0.95,5,222,2,0,1,0,6,1
206,0.33,0.74,5,111,2,1,1,0,5,0
207,0.91,0.87,3,218,5,0,1,1,0,0
208,0.29,0.55,4,283,3,1,1,1,7,2
209,0.94,0.52,7,301,6,0,0,0,9,2
210,0.54,0.23,1,232,7,1,1,1,6,0
211,0.22,0.79,1,156,3,0,0,1,7,0
212,0.98,0.36,2,222,5,0,1,0,4,2
213,0.89,0.33,4,147,10,0,1,1,1,2
214,0.79,0.49,5,165,7,0,1,0,8,2
215,0.11,0.14,7,236,8,0,1,0,5,1
216,0.78,0.69,1,266,5,0,0,1,4,1
217,0.61,0.71,6,294,7,1,1,0,4,2
218,0.46,0.35,7,224,6,1,1,1,6,2
219,0.89,0.57,4,118,7,0,0,1,2,0
220,0.98,0.35,4,261,8,0,1,0,6,0
221,0.33,0.34,4,138,4,1,1,0,1,0
222,0.57,0.49,5,179,2,1,0,1,4,2
223,0.73,0.36,3,243,8,1,1,1,7,2
224,0.18,0.89,7,167,9,0,0,0,3,1
225,0.53,0.77,6,289,3,0,1,1,9,1
226,0.39,0.6,7,96,7,1,1,1,3,2
227,0.15,0.47,1,212,6,0,0,0,4,1
228,0.11,0.15,7,264,3,0,0,1,5,1
229,0.61,0.34,1,181,6,1,1,0,8,0
230,0.19,0.38,7,202,10,0,0,1,2,0
231,0.19,0.83,1,292,2,0,1,1,6,2
232,0.4,0.16,3,278,4,1,1,1,5,2
233,0.22,0.75,2,236,6,1,1,0,0,0
234,0.74,0.18,5,196,9,0,1,1,3,1
235,0.66,0.91,3,240,6,1,1,0,0,2
236,0.25,0.09,3,274,5,1,1,0,3,2
237,0.54,0.76,1,270,4,1,1,0,9,2
238,0.42,0.73,6,268,6,1,0,1,7,2
239,0.48,0.66,5,201,5,0,0,1,0,0
240,0.4,0.44,6,269,9,1,0,0,0,0
241,0.11,0.68,1,283,9,1,0,0,0,0
242,0.03,0.47,2,96,2,1,0,1,8,0
243,0.64,0.07,5,175,10,0,1,0,4,1
244,0.73,0.16,7,129,4,0,0,1,8,0
245,0.44,0.46,1,278,3,1,0,0,7,1
246,0.08,0.98,4,173,4,0,0,1,8,1
247,0.24,0.09,7,104,9,0,1,1,4,0
248,0.38,0.12,5,232,2,1,0,1,5,0
249,0.82,0.09,3,156,3,0,1,0,5,0
250,0.14,0.11,3,108,3,1,1,1,6,0
251,0.42,0.91,3,225,5,0,1,0,7,1
252,0.78,0.48,3,121,6,0,1,1,2,1
253,0.25,0.33,5,97,7,0,0,1,8,2
254,0.48,0.53,5,250,4,1,1,0,6,2
255,0.03,0.31,4,170,9,1,0,1,8,1
256,0.49,0.6,6,221,9,1,1,0,2,0
257,0.56,0.1,7,151,10,1,1,0,2,1
258,0.61,0.48,5,173,4,0,0,0,1,2
259,0.56,0.55,3,159,7,0,1,0,0,2
260,0.16,0.75,1,262,6,0,0,0,7,2
261,0.34,0.58,6,188,10,1,0,1,3,0
262,0.75,0.37,5,253,9,0,0,0,6,0
263,0.71,0.83,1,256,4,0,0,0,6,0
264,0.66,0.55,1,142,7,0,1,1,4,2
265,0.2,0.66,7,133,5,0,0,0,6,2
266,0.7,0.87,6,122,8,0,1,0,0,2
267,0.94,0.86,4,148,2,0,0,1,1,0
268,0.85,0.94,7,284,9,0,0,1,3,2
269,0.27,0.84,6,267,8,1,0,0,6,0
270,0.44,0.46,2,154,9,0,0,0,9,0
271,0.85,0.32,2,301,5,1,0,1,4,1
272,0.2,0.76,3,246,10,1,0,1,0,0
273,0.85,0.01,7,133,9,0,1,0,0,2
274,0.24,0.18,1,113,4,0,1,0,0,0
275,0.49,0.75,3,103,10,0,0,1,8,0
276,0.03,0.25,7,217,5,0,0,1,5,0
277,0.33,0.77,3,169,2,0,0,1,8,0
278,0.79,0.83,1,189,3,1,1,1,9,0
279,0.08,0.63,6,241,10,0,1,1,5,2
280,0.4,0.3,5,168,9,1,0,0,9,1
281,0.12,0.11,4,310,6,0,0,1,1,1
282,0.04,0.57,7,260,9,0,1,1,6,0
283,0.0,0.27,6,209,5,1,0,1,9,2
284,0.93,0.35,3,100,8,0,0,1,3,2
285,0.78,0.96,1,112,2,0,1,1,2,1
286,0.38,0.07,6,271,7,1,0,0,7,2
287,0.44,0.54,6,249,3,1,0,1,6,2
288,0.92,0.0,6,236,8,1,0,1,1,0
289,0.37,0.42,4,295,8,1,1,1,4,2
290,0.32,0.42,6,150,8,1,0,1,7,2
291,0.1,0.7,4,256,6,1,1,1,7,0
292,0.81,0.46,1,307,10,0,0,1,0,2
293,0.15,0.94,3,215,9,1,1,0,4,1
294,0.18,0.68,4,124,2,0,0,1,3,1
295,0.16,0.73,2,116,6,1,0,1,9,0
296,0.82,1.0,4,288,6,0,0,0,1,2
297,0.39,0.92,6,128,3,1,0,1,3,2
298,0.37,0.18,1,263,5,0,0,1,5,0
299,0.44,0.16,5,204,10,1,0,0,9,2
300,0.25,0.91,5,304,8,1,1,1,9,2
301,0.86,0.78,1,98,5,0,0,1,3,1
302,0.38,0.79,4,163,3,0,0,0,0,0
303,0.22,0.67,6,165,9,0,0,0,1,0
304,0.73,0.26,3,121,4,0,1,1,3,2
305,0.85,0.38,6,199,5,0,0,1,6,1
306,0.39,0.16,2,141,8,1,1,0,0,1
307,0.95,0.22,3,216,5,0,1,0,5,2
308,0.77,0.97,6,274,9,1,1,0,3,0
309,0.6,0.37,7,182,9,0,0,1,7,1
310,0.15,0.33,5,113,7,0,1,1,8,1
311,0.65,0.75,1,249,4,1,0,0,3,2
312,0.57,0.31,5,135,10,1,1,0,1,0
313,0.26,0.46,5,226,4,1,1,1,1,1
314,0.11,0.51,4,165,9,0,1,1,2,0
315,0.87,0.88,5,280,7,0,1,0,5,0
316,0.34,0.16,3,170,10,0,0,0,9,0
317,0.4,0.24,6,188,3,1,0,0,1,0
318,0.52,0.87,6,302,9,0,1,1,9,2
319,0.92,0.62,6,223,10,1,0,1,7,0
320,0.72,0.92,2,101,10,1,0,0,8,1
321,0.04,0.27,4,132,8,0,1,1,3,1
322,0.07,0.07,7,230,9,1,1,0,3,0
323,0.36,0.9,1,148,4,0,0,1,8,2
324,0.97,0.03,6,150,7,0,1,0,7,2
325,0.93,0.93,4,166,9,0,1,0,3,0
326,0.83,0.46,3,116,8,0,0,0,1,1
327,0.09,0.65,2,235,3,0,0,1,3,1
328,0.02,0.42,3,203,9,1,1,1,8,1
329,0.36,0.42,4,119,2,0,0,1,9,1
330,0.33,0.03,1,206,5,1,1,1,2,0
331,0.46,0.95,6,309,10,1,0,0,0,2
332,0.41,0.32,7,202,6,1,1,0,5,2
333,0.54,0.89,7,123,6,0,0,0,7,1
334,0.92,0.0,7,197,10,1,0,1,6,2
335,0.09,0.21,5,197,9,1,1,1,0,0
336,0.37,0.45,4,208,10,1,1,0,2,2
337,0.78,0.15,7,248,4,1,1,0,0,2
338,0.4,0.82,6,101,9,0,0,1,2,1
339,0.45,0.89,1,284,2,1,0,1,6,2
340,0.31,0.68,7,204,9,1,1,1,6,1
341,0.71,0.83,1,100,10,0,0,0,4,2
342,0.7,0.82,2,96,4,0,1,0,8,1
343,0.87,0.21,3,227,8,1,0,1,5,2
344,0.28,0.89,1,179,2,1,0,0,2,0
345,0.36,0.17,7,194,2,0,1,0,2,0
346,0.88,0.63,5,252,7,0,1,1,4,0
347,0.02,0.63,6,283,9,1,1,0,1,1
348,0.45,0.3,7,170,2,0,1,1,1,0
349,0.14,0.31,4,254,10,0,0,1,7,1
350,0.54,0.4,3,280,2,0,0,1,8,2
351,0.72,0.83,3,227,2,0,1,0,8,0
352,0.92,0.69,6,191,8,1,0,1,6,0
353,0.66,0.62,4,233,2,0,0,1,4,1
354,0.88,0.68,2,148,10,0,1,1,1,0
355,0.46,0.21,6,270,8,0,0,1,9,1
356,0.5,0.38,7,293,2,1,0,0,1,2
357,0.71,0.02,7,165,10,1,0,1,6,1
358,0.32,0.66,4,306,4,0,0,1,6,0
359,0.2,0.3,6,202,8,0,0,0,2,0
360,0.05,0.0,7,184,7,1,1,0,8,0
361,0.37,0.17,1,215,9,1,0,0,7,0
362,0.11,0.35,3,303,4,1,1,0,9,1
363,0.47,0.14,6,274,4,0,0,1,5,1
364,0.42,0.79,3,310,10,1,0,1,3,0
365,0.87,0.6,3,220,10,1,0,1,7,1
366,0.45,0.15,2,182,9,0,0,1,4,2
367,0.15,0.2,1,216,6,0,0,1,8,1
368,0.18,0.9,3,198,7,1,1,0,3,1
369,0.38,0.82,5,198,2,1,0,0,8,2
370,0.31,0.22,4,249,4,0,1,0,6,1
371,0.12,0.72,4,96,2,1,0,1,2,2
372,0.3,0.79,2,127,5,1,1,0,0,1
373,0.3,0.98,1,190,2,1,1,1,2,0
374,0.83,0.88,1,255,5,1,0,0,7,0
375,0.87,0.36,7,105,8,1,0,1,4,2
376,0.54,0.44,6,213,3,1,0,0,3,0
377,0.33,0.47,2,108,9,0,0,1,8,2
378,0.92,0.51,3,281,3,0,1,1,1,2
379,0.28,0.96,3,111,7,0,0,0,1,1
380,0.07,0.33,6,146,9,1,0,0,7,1
381,0.59,0.78,5,295,5,0,0,1,5,1
382,0.93,0.56,2,108,6,0,0,1,7,1
383,0.69,0.85,2,133,5,1,1,1,1,0
384,0.18,0.98,3,304,9,1,1,1,9,1
385,0.7,0.17,5,189,10,0,1,0,9,2
386,0.16,0.34,1,199,7,0,1,0,5,1
387,0.06,0.22,7,147,5,0,1,0,8,2
388,0.99,0.69,1,305,10,0,0,0,2,1
389,0.91,0.98,3,182,7,1,0,1,6,2
390,0.08,0.86,7,220,10,1,1,1,1,0
391,0.84,0.71,5,121,5,0,1,1,0,0
392,0.72,0.8,6,273,9,1,0,0,5,2
393,0.62,0.72,6,213,10,0,0,0,0,0
394,0.84,0.7,7,122,3,0,0,0,7,2
395,0.98,0.06,2,141,2,1,0,0,0,0
396,0.54,0.05,6,123,2,0,0,0,2,0
397,0.68,0.91,6,249,9,0,1,0,4,2
398,0.77,0.3,7,250,2,0,1,1,1,1
399,0.13,0.59,3,219,9,0,1,0,4,2
400,0.17,0.26,7,191,4,0,1,0,3,0
401,0.49,0.64,5,261,8,0,0,1,5,1
402,0.03,0.61,5,230,8,1,0,0,1,1
403,0.97,0.72,1,126,8,1,1,0,9,2
404,0.76,0.97,7,172,9,0,1,1,2,0
405,0.62,0.98,4,208,10,1,0,1,1,2
406,0.65,0.67,4,201,2,1,0,1,0,0
407,0.69,0.91,1,275,10,1,1,0,5,2
408,0.72,0.35,5,142,2,0,0,1,9,1
409,0.21,0.58,5,213,8,0,1,1,1,1
410,0.13,0.46,5,158,2,0,0,1,3,2
411,0.38,0.75,4,106,2,1,1,0,0,0
412,0.8,0.47,3,264,10,0,1,1,1,2
413,0.61,0.85,1,125,10,1,0,0,6,1
414,0.94,0.78,6,127,8,0,1,0,2,2
415,1.0,0.29,5,111,4,0,1,0,3,0
416,0.53,0.62,2,225,8,0,0,1,3,0
417,0.24,0.55,6,135,8,0,1,0,1,1
418,0.4,0.85,7,187,8,0,0,1,5,2
419,0.4,0.85,3,174,8,0,1,0,9,0
420,0.43,0.04,2,124,9,1,1,1,4,2
421,0.89,0.03,1,150,3,0,0,0,2,2
422,0.67,0.8,3,232,4,0,0,1,5,0
423,0.44,0.44,6,147,7,0,0,0,3,2
424,0.92,0.29,4,121,7,0,1,0,8,0
425,0.89,0.2,7,244,6,0,0,1,4,0
426,0.61,0.38,1,214,9,0,0,1,3,1
427,0.49,0.23,4,187,4,1,1,0,1,2
428,0.3,0.91,2,233,5,0,0,0,9,0
429,0.34,0.95,1,267,2,1,0,0,6,0
430,0.89,0.87,6,107,6,1,0,1,8,1
431,0.55,0.79,6,144,3,0,1,1,0,2
432,0.59,0.8,6,289,9,1,1,1,2,1
433,0.1,0.45,2,286,8,0,1,0,4,2
434,0.32,0.23,1,178,2,1,0,1,0,2
435,0.74,0.38,1,136,6,1,0,0,1,2
436,0.88,0.07,4,129,2,0,1,1,2,1
437,0.48,0.28,2,269,6,0,1,1,6,0
438,0.98,0.05,2,282,6,0,1,0,8,1
439,0.11,0.48,1,257,4,1,1,1,0,2
440,0.62,0.67,6,146,2,0,1,0,2,1
441,0.14,0.33,3,145,4,1,1,0,7,0
442,0.94,0.59,1,234,3,0,0,0,3,0
443,0.72,0.98,1,132,3,0,1,0,2,1
444,0.19,0.97,5,214,7,0,0,0,9,1
445,0.41,0.81,7,186,3,1,1,1,5,1
446,0.48,0.24,1,252,3,0,1,1,9,0
447,0.28,0.06,1,147,3,0,1,0,9,2
448,0.04,0.23,6,286,3,1,0,1,9,1
449,0.35,0.2,6,237,10,0,1,1,6,0
450,0.84,0.58,3,275,9,0,0,0,9,1
451,0.07,0.53,1,255,7,0,0,1,6,2
452,0.68,0.43,5,148,2,1,0,1,2,2
453,0.93,0.56,6,176,9,0,1,0,3,0
454,0.75,0.39,5,189,5,0,1,0,6,1
455,0.82,0.73,7,174,6,1,0,0,7,0
456,0.65,0.01,4,140,9,1,1,0,9,0
457,0.54,0.67,4,241,8,0,0,1,4,2
458,0.87,0.02,1,185,2,0,1,1,3,0
459,0.84,0.49,2,259,2,0,1,1,3,1
460,0.83,0.49,3,244,9,1,0,1,4,1
461,0.36,0.01,2,169,9,0,1,0,6,1
462,0.55,0.94,5,250,7,1,1,1,1,2
463,0.43,0.07,1,171,10,1,0,0,1,1
464,0.69,0.59,5,305,8,1,0,1,5,0
465,0.67,0.61,5,98,9,1,1,0,0,1
466,0.54,0.34,7,223,4,1,1,0,6,1
467,0.49,0.76,2,285,4,1,0,1,5,1
468,0.42,0.36,2,182,9,0,0,0,7,1
469,0.17,0.72,2,229,2,1,0,1,9,0
470,0.11,0.11,7,221,7,1,0,1,6,0
471,0.6,0.49,5,196,9,0,1,0,7,0
472,0.87,0.81,4,121,3,0,1,1,9,1
473,0.4,0.75,7,272,5,0,1,1,1,1
474,0.21,0.73,5,278,5,1,0,1,0,1
475,0.7,0.3,4,126,3,1,0,1,1,2
476,0.63,0.72,1,184,6,1,0,0,0,1
477,0.77,0.27,1,239,6,0,0,1,2,2
478,0.91,0.56,7,298,8,0,0,1,7,2
479,0.37,0.19,4,112,6,0,0,0,5,0
480,0.33,0.12,4,105,9,0,0,0,5,2
481,0.27,0.5,3,249,9,1,1,1,2,0
482,0.75,0.76,7,195,10,0,0,1,3,1
483,0.74,0.08,5,167,6,0,1,1,1,0
484,0.91,0.59,4,291,4,1,0,1,6,1
485,0.31,0.99,1,129,4,1,1,1,0,2
486,0.0,0.8,7,166,2,0,0,1,7,1
487,0.36,0.11,3,117,10,1,1,1,6,0
488,0.09,0.97,1,278,8,1,1,1,8,1
489,0.83,0.1,3,299,5,0,1,0,0,1
490,0.55,0.18,1,246,6,1,1,0,7,0
491,0.5,0.08,2,240,10,1,1,0,2,1
492,0.79,0.33,4,240,9,0,1,1,6,0
493,0.95,0.02,1,284,2,1,0,0,4,0
494,0.91,0.5,1,231,6,1,0,0,1,1
495,0.48,0.7,2,210,4,0,1,0,3,1
496,0.64,0.33,7,167,9,1,0,1,3,2
497,0.89,0.97,4,134,8,0,1,0,6,2
498,0.57,0.76,1,157,2,0,0,1,6,1
499,0.34,0.98,7,291,10,1,1,1,4,0
500,0.98,0.65,5,173,10,1,1,0,7,0
501,0.07,0.31,4,176,4,0,0,0,9,1
502,0.92,0.43,2,97,2,0,1,1,3,2
503,0.16,0.27,5,222,3,1,1,1,3,0
504,0.91,0.07,4,176,2,0,0,0,6,1
505,0.56,0.91,4,310,2,0,1,1,6,1
506,0.19,0.09,6,306,10,1,1,0,7,2
507,0.02,0.97,1,113,5,1,1,1,6,1
508,0.43,0.53,5,208,2,1,1,1,5,0
509,0.52,0.08,1,138,3,1,0,1,4,0
510,0.18,0.68,1,259,9,0,1,1,0,1
511,0.59,0.98,5,238,10,1,1,1,6,0
512,0.56,0.72,7,251,9,0,1,1,0,2
513,0.7,0.94,4,123,4,1,1,0,4,1
514,0.39,0.91,2,199,7,0,0,0,1,0
515,0.31,0.1,4,161,3,1,0,0,3,2
516,0.26,0.39,5,188,6,0,1,1,7,1
517,0.93,0.77,6,259,7,0,1,0,3,0
518,0.76,0.44,7,268,8,0,0,1,4,0
519,0.86,0.77,3,124,3,0,0,1,0,2
520,0.75,0.42,3,259,3,0,0,0,2,1
521,0.71,0.9,6,171,2,0,1,0,0,0
522,0.29,0.57,2,145,9,1,1,0,0,2
523,0.45,0.08,4,160,9,0,1,0,3,1
524,0.26,0.51,2,106,2,1,0,1,5,0
525,0.46,0.13,6,169,3,1,0,0,9,2
526,0.66,0.51,3,236,6,0,1,1,9,2
527,0.81,0.59,4,221,2,1,1,1,5,0
528,0.6,0.03,3,145,5,1,0,0,7,2
529,0.39,0.1,4,141,2,1,0,0,9,0
530,0.69,0.84,7,126,4,0,0,0,3,2
531,0.1,0.86,2,218,4,1,0,1,3,2
532,0.84,0.63,3,219,4,1,0,0,4,1
533,0.98,0.75,6,281,5,0,1,1,8,0
